id;id_tarifario;codigo_cups;codigo_diagnostico
1014;1;778101;D133
1015;1;778101;D134
1016;1;778101;D135
1017;1;778101;D136
1018;1;778101;D137
1019;1;778101;D139
1020;1;778101;D140
1021;1;778101;D141
1022;1;778101;D142
1023;1;778101;D143
1024;1;778101;D144
1025;1;778101;D150
1026;1;778101;D151
1027;1;778101;D152
1028;1;778101;D157
1029;1;778101;D159
1030;1;778101;D160
1031;1;778101;D161
1032;1;778101;D162
1033;1;778101;D163
1034;1;778101;D164
1035;1;778101;D165
1036;1;778101;D166
1037;1;778101;D167
1038;1;778101;D168
1039;1;778101;D169
1040;1;778101;D170
1041;1;778101;D171
1042;1;778101;D172
1043;1;778101;D173
1044;1;778101;D174
1045;1;778101;D175
1046;1;778101;D176
1047;1;778101;D177
1048;1;778101;D179
1049;1;778101;D190
1050;1;778101;D191
1051;1;778101;D197
1052;1;778101;D199
1053;1;778101;D200
1054;1;778101;D201
1055;1;778101;D210
1056;1;778101;D211
1057;1;778101;D212
1058;1;778101;D213
1059;1;778101;D214
1060;1;778101;D215
1061;1;778101;D216
1062;1;778101;D219
1063;1;778101;D230
1064;1;778101;D231
1065;1;778101;D232
1066;1;778101;D233
1067;1;778101;D234
1068;1;778101;D235
1069;1;778101;D236
1070;1;778101;D237
1071;1;778101;D239
1072;1;778101;D24
1073;1;778101;D260
1074;1;778101;D261
1075;1;778101;D267
1076;1;778101;D269
1077;1;778101;D27
1078;1;778101;D280
1079;1;778101;D281
1080;1;778101;D282
1081;1;778101;D287
1082;1;778101;D289
1083;1;778101;D290
1084;1;778101;D291
1085;1;778101;D292
1086;1;778101;D293
1087;1;778101;D294
1088;1;778101;D297
1089;1;778101;D299
1090;1;778101;D300
1091;1;778101;D301
1092;1;778101;D302
1093;1;778101;D303
1094;1;778101;D304
1095;1;778101;D307
1096;1;778101;D309
1097;1;778101;D310
1098;1;778101;D311
1099;1;778101;D312
1100;1;778101;D313
1101;1;778101;D314
1102;1;778101;D315
1103;1;778101;D316
1104;1;778101;D319
1105;1;778101;D320
1106;1;778101;D321
1107;1;778101;D329
1108;1;778101;D330
1109;1;778101;D331
1110;1;778101;D332
1111;1;778101;D333
1112;1;778101;D334
1113;1;778101;D337
1114;1;778101;D339
1115;1;778101;D34
1116;1;778101;D350
1117;1;778101;D351
1118;1;778101;D352
1119;1;778101;D353
1120;1;778101;D354
1121;1;778101;D355
1122;1;778101;D356
1123;1;778101;D357
1124;1;778101;D358
1125;1;778101;D359
1126;1;778101;D360
1127;1;778101;D361
1128;1;778101;D367
1129;1;778101;D369
1130;1;778101;D370
1131;1;778101;D371
1132;1;778101;D372
1133;1;778101;D373
1134;1;778101;D374
1135;1;778101;D375
1136;1;778101;D376
1137;1;778101;D377
1138;1;778101;D379
1139;1;778101;D380
1140;1;778101;D381
1141;1;778101;D382
1142;1;778101;D383
1143;1;778101;D384
1144;1;778101;D385
1145;1;778101;D386
1146;1;778101;D390
1147;1;778101;D391
1148;1;778101;D392
1149;1;778101;D397
1150;1;778101;D399
1151;1;778101;D400
1152;1;778101;D401
1153;1;778101;D407
1154;1;778101;D409
1155;1;778101;D410
1156;1;778101;D411
1157;1;778101;D412
1158;1;778101;D413
1159;1;778101;D414
1160;1;778101;D417
1161;1;778101;D419
1162;1;778101;D420
1163;1;778101;D421
1164;1;778101;D429
1165;1;778101;D430
1166;1;778101;D431
1167;1;778101;D432
1168;1;778101;D433
1169;1;778101;D434
1170;1;778101;D437
1171;1;778101;D439
1172;1;778101;D440
1173;1;778101;D441
1174;1;778101;D442
1175;1;778101;D443
1176;1;778101;D444
1177;1;778101;D445
1178;1;778101;D446
1179;1;778101;D447
1180;1;778101;D448
1181;1;778101;D449
1182;1;778101;D470
1183;1;778101;D477
1184;1;778101;D479
1185;1;778101;D480
1186;1;778101;D481
1187;1;778101;D482
1188;1;778101;D483
1189;1;778101;D484
1190;1;778101;D485
1191;1;778101;D486
1192;1;778101;D487
1193;1;778101;D489
1194;1;778101;O341
1195;1;778101;Z031
1196;1;778101;Z080
1197;1;778101;Z081
1198;1;778101;Z082
1199;1;778101;Z087
1200;1;778101;Z088
1201;1;778101;Z089
1202;1;778101;Z120
1203;1;778101;Z121
1204;1;778101;Z122
1205;1;778101;Z123
1206;1;778101;Z124
1207;1;778101;Z125
1208;1;778101;Z126
1209;1;778101;Z128
1210;1;778101;Z129
1211;1;778101;Z400
1212;1;778101;Z511
1213;1;778101;Z800
