pk_id_diagnostisco;pk_codido_diagnostico;descripcion_diagnostico;fk_id_tipo_origen;aplica_sexo
320;A798;OTRAS RICKETTSIOSIS ESPECIFICADAS;4;Ambos
321;A799;RICKETTSIOSIS, NO ESPECIFICADA;4;Ambos
322;A800;POLIOMIELITIS AGUDA PARALITICA, ASOCIADA A VACUNA;4;Ambos
323;A801;POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE IMPORTADO;4;Ambos
324;A802;POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE AUTOCTONO;4;Ambos
325;A803;OTRAS POLIOMIELITIS AGUDAS PARALITICAS, Y NO LAS ESPECIFICADAS;4;Ambos
326;A804;POLIOMIELITIS AGUDA NO PARALITICA;4;Ambos
327;A809;POLIOMIELITIS AGUDA, SIN OTRA ESPECIFICACI?N;4;Ambos
328;A810;ENFERMEDAD DE CREUTZFELDT-JAKOB;4;Ambos
329;A811;PANENCEFALITIS ESCLEROSANTE SUBAGUDA;4;Ambos
330;A812;LEUCOENCEFALOPATIA MULTIFOCAL PROGRESIVA;4;Ambos
331;A818;OTRAS INFECCIONES DEL SISTEMA NERVIOSO POR VIRUS ATIPICO;4;Ambos
